No,FI10501J.PV,FI10301J.PV,PI10105.PV,PI10103.PV,TI10101.PV,TI10103.PV,PI10101.PV,PIP101A1.PV,PIP101B1.PV,WIP101A.PV,WIP101B.PV,EIP101A.PV,EIP101B.PV,FIC10101.PV,FIC10101.OP,FIC10101.SP,LIC10101.PV,LIC10101.OP,LIC10101.SP,VX1YHQ.OP,VX2YHQ.OP,VX9D101.OP,VX2D101.OP,VX1P101.OP,PSV10101AB.OP,DS_P101.OP,XL_P101.OP,label
87,60.936721,0,1.899867,0,38.063662,25.079403,0.799125,2.85416,0,88.976766,0,14.78106,0,60.747731,33.910084,61.195853,50.125215,33.997696,50,27,0,0,0,0,0,0,0,0
88,60.70339,0,1.90715,0,37.88412,24.958084,0.799689,2.855563,0,89.095704,0,14.828222,0,60.417544,33.96499,60.953475,50.057599,33.863041,50,27,0,0,0,0,0,0,0,0
89,60.788968,0,1.9106,0,37.952714,24.96553,0.801154,2.838389,0,89.392217,0,14.900651,0,60.781873,33.741784,60.813484,50.01862,33.785269,50,27,0,0,0,0,0,0,0,0
90,60.714083,0,1.888379,0,38.031175,24.956374,0.799196,2.840853,0,89.123244,0,14.813863,0,60.712485,33.687207,60.626997,49.966983,33.681665,50,27,0,0,0,0,0,0,0,0
91,60.561383,0,1.906088,0,38.181923,25.057904,0.794763,2.848969,0,89.121175,0,14.855128,0,60.74584,33.915727,61.147729,50.111076,33.97096,50,27,0,0,0,0,0,0,0,0
92,60.787588,0,1.899293,0,37.731297,24.991846,0.799495,2.85368,0,89.483233,0,14.870218,0,60.707638,33.754344,60.743991,49.998932,33.746662,50,27,0,0,0,0,0,0,0,0
93,60.805794,0,1.901461,0,37.921432,24.89676,0.800687,2.858386,0,89.147791,0,14.876213,0,60.708826,33.896708,61.043207,50.081639,33.912893,50,27,0,0,0,0,0,0,0,0
94,60.550863,0,1.900425,0,38.004262,24.990776,0.800461,2.857017,0,89.073369,0,14.839386,0,60.926412,33.65261,60.725,49.993282,33.736111,50,27,0,0,0,0,0,0,0,0
95,60.958943,0,1.900874,0,37.957804,24.98065,0.80315,2.849577,0,89.655727,0,14.910115,0,60.829695,33.632457,60.59836,49.958312,33.665756,50,27,0,0,0,0,0,0,0,0
96,60.258065,0,1.903386,0,37.832284,25.045795,0.803128,2.85912,0,89.783914,0,14.870731,0,60.830536,33.661377,60.674663,49.97961,33.708146,50,27,0,0,0,0,0,0,0,0
97,60.844312,0,1.892182,0,37.963628,24.945717,0.799459,2.850779,0,89.388902,0,14.91066,0,60.69153,33.686162,60.59768,49.958433,33.665378,50,27,0,0,0,0,0,0,0,0
98,61.03029,0,1.893552,0,37.926351,24.927703,0.793804,2.839786,0,89.204146,0,14.880281,0,60.594226,33.724395,60.58689,49.955658,33.659383,50,27,0,0,0,0,0,0,0,0
99,60.664504,0,1.903465,0,37.925755,24.990635,0.79877,2.85227,0,89.235493,0,14.883723,0,60.498551,33.88393,60.828192,50.022573,33.79344,50,27,0,0,0,0,0,0,0,0
100,60.988533,0,1.896971,0,38.028255,24.951101,0.802228,2.851954,0,88.740478,0,14.890259,0,60.865665,33.670753,60.725032,49.993948,33.736129,50,27,0,0,0,0,0,0,0,0
101,60.878104,0,1.893692,0,38.151997,25.072236,0.798597,2.835877,0,89.500648,0,14.837157,0,61.112903,33.719388,61.083649,50.093098,33.935361,50,27,0,0,0,0,0,0,0,0
102,60.805518,0,1.886598,0,38.052936,24.978674,0.798917,2.86521,0,89.422143,0,14.835545,0,60.198297,33.98764,60.736716,49.996744,33.74262,50,27,0,0,0,0,0,0,0,0
