No,FI10501J.PV,FI10301J.PV,PI10105.PV,PI10103.PV,TI10101.PV,TI10103.PV,PI10101.PV,PIP101A1.PV,PIP101B1.PV,WIP101A.PV,WIP101B.PV,EIP101A.PV,EIP101B.PV,FIC10101.PV,FIC10101.OP,FIC10101.SP,LIC10101.PV,LIC10101.OP,LIC10101.SP,VX1YHQ.OP,VX2YHQ.OP,VX9D101.OP,VX2D101.OP,VX1P101.OP,PSV10101AB.OP,DS_P101.OP,XL_P101.OP,label
1958,60.49838,0.0,1.902134,0.0,37.909947,24.9914,0.801099,2.843117,0.0,89.086338,0.0,14.894693,0.0,60.715416,33.857696,60.888266,50.035065,33.826814,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1959,60.592815,0.0,1.90125,0.0,37.994216,25.034788,0.79901,2.860448,0.0,88.951948,0.0,14.878746,0.0,60.935001,33.619891,60.595427,49.953951,33.664126,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1960,60.960551,0.0,1.906408,0.0,37.965701,24.929933,0.798832,2.846816,0.0,89.976627,0.0,14.827521,0.0,60.948571,33.601745,60.591946,49.953218,33.662192,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1961,60.779483,0.0,1.898033,0.0,37.908183,25.020583,0.796552,2.832616,0.0,89.104826,0.0,14.962213,0.0,60.795749,33.704941,60.67909,49.977537,33.710606,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1962,60.817965,0.0,1.895106,0.0,37.85278,24.895131,0.800188,2.863074,0.0,89.33591,0.0,14.852051,0.0,60.943575,33.575357,60.560866,49.944972,33.644926,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1963,60.845387,0.0,1.907205,0.0,37.977868,24.837604,0.79781,2.848076,0.0,89.3175,0.0,14.828311,0.0,60.754446,33.670895,60.597183,49.955284,33.665101,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1964,60.440938,0.0,1.894027,0.0,38.038421,25.018305,0.803328,2.857548,0.0,89.391605,0.0,14.915161,0.0,60.514502,33.963592,60.984476,50.062552,33.880265,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1965,60.588265,0.0,1.891506,0.0,38.046223,25.053332,0.803149,2.847056,0.0,89.292934,0.0,14.912339,0.0,60.76083,33.881009,61.027231,50.074058,33.904017,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1966,60.877153,0.0,1.901323,0.0,38.01652,24.997347,0.802108,2.845519,0.0,89.133957,0.0,14.869149,0.0,60.900566,33.576059,60.507064,49.929918,33.615035,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1967,60.767039,0.0,1.895587,0.0,38.02576,24.959793,0.800096,2.858205,0.0,89.394023,0.0,14.807346,0.0,60.869783,33.866306,61.113115,50.097777,33.951731,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1968,60.890838,0.0,1.905066,0.0,37.772723,25.130145,0.800463,2.862601,0.0,89.290966,0.0,14.817297,0.0,60.715026,33.818649,60.842622,50.022527,33.801457,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1969,60.488062,0.0,1.911681,0.0,37.834546,24.954669,0.801959,2.856315,0.0,89.424314,0.0,14.847023,0.0,60.766917,33.841539,60.934823,50.047899,33.85268,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1970,60.61797,0.0,1.892322,0.0,37.902784,25.00986,0.798778,2.864801,0.0,88.883714,0.0,14.948927,0.0,60.553272,33.874346,60.779885,50.004837,33.766603,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1971,60.599924,0.0,1.897102,0.0,37.915313,24.964244,0.802861,2.843491,0.0,89.628859,0.0,14.887647,0.0,60.896834,33.772035,60.893472,50.036207,33.829706,50.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
